DBMSTable,SiteName
4000STL53,SYPJCC-GF-LVMCB-A6-KVA3
4000STL54,SYPJCC-GF-LVMCB-A6-KVA
4000STL55,SYPJCC-GF-LVMCB-A6-HZ
4000STL56,SYPJCC-GF-LVMCB-A6-PF
4000STL57,SYPJCC-GF-LVMCB-A6-THDV1
4000STL58,SYPJCC-GF-LVMCB-A6-THDV2
4000STL59,SYPJCC-GF-LVMCB-A6-THDV3
4000STL60,SYPJCC-GF-LVMCB-A6-THDAMP1
4000STL61,SYPJCC-GF-LVMCB-A6-THDAMP2
4000STL62,SYPJCC-GF-LVMCB-A6-THDAMP3
4000STL63,SYPJCC-GF-LVMCB-A6-HHD
4000STL64,SYPJCC-GF-LVMCB-A6-KWH
4000STL65,SYPJCC-GF-LVMCB-A6-HNAMP
4000STL66,SYPJCC-GF-LVMCB-A6-LPF
4000STL67,SYPJCC-GF-LVMCB-A6-MAXCDTH
4000STL68,SYPJCC-GF-LVMCB-A6-MINCDTH
4000STL69,SYPJCC-GF-LVMCB-A7-PAMP1
4000STL70,SYPJCC-GF-LVMCB-A7-PAMP2
4000STL71,SYPJCC-GF-LVMCB-A7-PAMP3
4000STL72,SYPJCC-GF-LVMCB-A7-NAMP
4000STL73,SYPJCC-GF-LVMCB-A7-CU
4000STL74,SYPJCC-GF-LVMCB-A7-TRMS1
4000STL75,SYPJCC-GF-LVMCB-A7-TRMS2
4000STL76,SYPJCC-GF-LVMCB-A7-TRMS3
4000STL77,SYPJCC-GF-LVMCB-A7-KW1
4000STL78,SYPJCC-GF-LVMCB-A7-KW2
4000STL79,SYPJCC-GF-LVMCB-A7-KW3
4000STL80,SYPJCC-GF-LVMCB-A7-KW
4000STL81,SYPJCC-GF-LVMCB-A7-KVAR1
4000STL82,SYPJCC-GF-LVMCB-A7-KVAR2
4000STL83,SYPJCC-GF-LVMCB-A7-KVAR3
4000STL84,SYPJCC-GF-LVMCB-A7-KVAR
4000STL85,SYPJCC-GF-LVMCB-A7-KVA1
4000STL86,SYPJCC-GF-LVMCB-A7-KVA2
4000STL87,SYPJCC-GF-LVMCB-A7-KVA3
4000STL88,SYPJCC-GF-LVMCB-A7-KVA
4000STL89,SYPJCC-GF-LVMCB-A7-HZ
4000STL90,SYPJCC-GF-LVMCB-A7-PF
4000STL91,SYPJCC-GF-LVMCB-A7-THDV1
4000STL92,SYPJCC-GF-LVMCB-A7-THDV2
4000STL93,SYPJCC-GF-LVMCB-A7-THDV3
4000STL94,SYPJCC-GF-LVMCB-A7-THDAMP1
4000STL95,SYPJCC-GF-LVMCB-A7-THDAMP2
4000STL96,SYPJCC-GF-LVMCB-A7-THDAMP3
4000STL97,SYPJCC-GF-LVMCB-A7-HHD
4000STL98,SYPJCC-GF-LVMCB-A7-KWH
4000STL99,SYPJCC-GF-LVMCB-A7-HNAMP
4000STL100,SYPJCC-GF-LVMCB-A7-LPF
4000STL101,SYPJCC-GF-LVMCB-A7-MAXCDTH
4000STL102,SYPJCC-GF-LVMCB-A7-MINCDTH
4000STL103,SYPJCC-GF-LVMCB-A8-PAMP1
4000STL104,SYPJCC-GF-LVMCB-A8-PAMP2
4000STL105,SYPJCC-GF-LVMCB-A8-PAMP3
4000STL106,SYPJCC-GF-LVMCB-A8-NAMP
4000STL107,SYPJCC-GF-LVMCB-A8-CU
4000STL108,SYPJCC-GF-LVMCB-A8-TRMS1
4000STL109,SYPJCC-GF-LVMCB-A8-TRMS2
4000STL110,SYPJCC-GF-LVMCB-A8-TRMS3
4000STL111,SYPJCC-GF-LVMCB-A8-KW1
4000STL112,SYPJCC-GF-LVMCB-A8-KW2
4000STL113,SYPJCC-GF-LVMCB-A8-KW3
4000STL114,SYPJCC-GF-LVMCB-A8-KW
4000STL115,SYPJCC-GF-LVMCB-A8-KVAR1
4000STL116,SYPJCC-GF-LVMCB-A8-KVAR2
4000STL117,SYPJCC-GF-LVMCB-A8-KVAR3
4000STL118,SYPJCC-GF-LVMCB-A8-KVAR
4000STL119,SYPJCC-GF-LVMCB-A8-KVA1
4000STL120,SYPJCC-GF-LVMCB-A8-KVA2
4000STL121,SYPJCC-GF-LVMCB-A8-KVA3
4000STL122,SYPJCC-GF-LVMCB-A8-KVA
4000STL123,SYPJCC-GF-LVMCB-A8-HZ
4000STL124,SYPJCC-GF-LVMCB-A8-PF
4000STL125,SYPJCC-GF-LVMCB-A8-THDV1
4000STL126,SYPJCC-GF-LVMCB-A8-THDV2
4000STL127,SYPJCC-GF-LVMCB-A8-THDV3
4000STL128,SYPJCC-GF-LVMCB-A8-THDAMP1
4000STL129,SYPJCC-GF-LVMCB-A8-THDAMP2
4000STL130,SYPJCC-GF-LVMCB-A8-THDAMP3
4000STL131,SYPJCC-GF-LVMCB-A8-HHD
4000STL132,SYPJCC-GF-LVMCB-A8-KWH
4000STL133,SYPJCC-GF-LVMCB-A8-HNAMP
4000STL134,SYPJCC-GF-LVMCB-A8-LPF
4000STL135,SYPJCC-GF-LVMCB-A8-MAXCDTH
4000STL136,SYPJCC-GF-LVMCB-A8-MINCDTH
4000STL137,SYPJCC-GF-LVMCB-A9-PAMP1
4000STL138,SYPJCC-GF-LVMCB-A9-PAMP2
4000STL139,SYPJCC-GF-LVMCB-A9-PAMP3
4000STL140,SYPJCC-GF-LVMCB-A9-NAMP
4000STL141,SYPJCC-GF-LVMCB-A9-CU
4000STL142,SYPJCC-GF-LVMCB-A9-TRMS1
4000STL143,SYPJCC-GF-LVMCB-A9-TRMS2
4000STL144,SYPJCC-GF-LVMCB-A9-TRMS3
4000STL145,SYPJCC-GF-LVMCB-A9-KW1
4000STL146,SYPJCC-GF-LVMCB-A9-KW2
4000STL147,SYPJCC-GF-LVMCB-A9-KW3
4000STL148,SYPJCC-GF-LVMCB-A9-KW
4000STL149,SYPJCC-GF-LVMCB-A9-KVAR1
4000STL150,SYPJCC-GF-LVMCB-A9-KVAR2
4000STL151,SYPJCC-GF-LVMCB-A9-KVAR3
4000STL152,SYPJCC-GF-LVMCB-A9-KVAR
4000STL153,SYPJCC-GF-LVMCB-A9-KVA1
4000STL154,SYPJCC-GF-LVMCB-A9-KVA2
4000STL155,SYPJCC-GF-LVMCB-A9-KVA3
4000STL156,SYPJCC-GF-LVMCB-A9-KVA
4000STL157,SYPJCC-GF-LVMCB-A9-HZ
4000STL158,SYPJCC-GF-LVMCB-A9-PF
4000STL159,SYPJCC-GF-LVMCB-A9-THDV1
4000STL160,SYPJCC-GF-LVMCB-A9-THDV2
4000STL161,SYPJCC-GF-LVMCB-A9-THDV3
4000STL162,SYPJCC-GF-LVMCB-A9-THDAMP1
4000STL163,SYPJCC-GF-LVMCB-A9-THDAMP2
4000STL164,SYPJCC-GF-LVMCB-A9-THDAMP3
4000STL165,SYPJCC-GF-LVMCB-A9-HHD
4000STL166,SYPJCC-GF-LVMCB-A9-KWH
4000STL167,SYPJCC-GF-LVMCB-A9-HNAMP
4000STL168,SYPJCC-GF-LVMCB-A9-LPF
4000STL169,SYPJCC-GF-LVMCB-A9-MAXCDTH
4000STL170,SYPJCC-GF-LVMCB-A9-MINCDTH
4000STL171,SYPJCC-GF-LVMCB-A10-PAMP1
4000STL172,SYPJCC-GF-LVMCB-A10-PAMP2
4000STL173,SYPJCC-GF-LVMCB-A10-PAMP3
4000STL174,SYPJCC-GF-LVMCB-A10-NAMP
4000STL175,SYPJCC-GF-LVMCB-A10-CU
